Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,01/01/2017 08:00:00 AM,-2.7,-4.1,74,0,0,135.1,0,270,3.6,6.3,997.4,23,0,12,01/01/2017 8:00 AM,OakStreetWeatherStation201701010800
63rd Street Weather Station,01/01/2017 09:00:00 AM,-2.2,-3.4,77,0,0,39.3,0,253,2.3,4.2,997.4,182,354,11.8,01/01/2017 9:00 AM,63rdStreetWeatherStation201701010900
Foster Weather Station,01/01/2017 09:00:00 AM,-3.06,,66,,0,,,256,2.4,2.5,997,0,,15.2,01/01/2017 9:00 AM,FosterWeatherStation201701010900
Oak Street Weather Station,01/01/2017 09:00:00 AM,-1.9,-3.5,70,0,0,135.1,0,318,1.2,3.6,997.7,32,0,12,01/01/2017 9:00 AM,OakStreetWeatherStation201701010900
63rd Street Weather Station,01/01/2017 10:00:00 AM,-0.3,-2.1,68,0,0,39.3,0,330,1.6,3.1,997.2,326,354,11.9,01/01/2017 10:00 AM,63rdStreetWeatherStation201701011000
Foster Weather Station,01/01/2017 10:00:00 AM,-1.17,,56,,0,,,230,1.4,1.7,997,0,,15.2,01/01/2017 10:00 AM,FosterWeatherStation201701011000
Oak Street Weather Station,01/01/2017 10:00:00 AM,-0.2,-2.3,63,0,0,135.1,0,341,2,3,997.6,135,1,12,01/01/2017 10:00 AM,OakStreetWeatherStation201701011000
63rd Street Weather Station,01/01/2017 11:00:00 AM,-0.2,-1.7,74,0,0,39.3,0,137,3.1,4.3,997.5,403,354,11.9,01/01/2017 11:00 AM,63rdStreetWeatherStation201701011100
Foster Weather Station,01/01/2017 11:00:00 AM,-0.28,,56,,0,,,115,1.9,2.1,997,0,,15.1,01/01/2017 11:00 AM,FosterWeatherStation201701011100
Oak Street Weather Station,01/01/2017 11:00:00 AM,0.1,-1.8,66,0,0,135.1,0,105,2,2.8,997.9,379,1,11.8,01/01/2017 11:00 AM,OakStreetWeatherStation201701011100
63rd Street Weather Station,01/01/2017 12:00:00 PM,2.7,-0.1,58,0,0,39.3,0,206,3.6,5.6,997.8,429,354,11.8,01/01/2017 12:00 PM,63rdStreetWeatherStation201701011200
Foster Weather Station,01/01/2017 12:00:00 PM,2.06,,45,,0,,,178,4.2,4.8,997.3,0,,15.2,01/01/2017 12:00 PM,FosterWeatherStation201701011200
Oak Street Weather Station,01/01/2017 12:00:00 PM,2.1,-0.8,55,0,0,135.1,0,56,0.9,1.6,998,29,0,12.1,01/01/2017 12:00 PM,OakStreetWeatherStation201701011200
63rd Street Weather Station,01/01/2017 01:00:00 PM,3.4,0.3,54,0,0,39.3,0,254,5.5,8,997.4,405,354,11.8,01/01/2017 1:00 PM,63rdStreetWeatherStation201701011300
Foster Weather Station,01/01/2017 01:00:00 PM,3.17,,42,,0,,,213,2.4,2.7,996.6,0,,15.1,01/01/2017 1:00 PM,FosterWeatherStation201701011300
Oak Street Weather Station,01/01/2017 01:00:00 PM,3.5,0,49,0,0,135.1,0,267,1.5,5.2,997.5,28,1,12,01/01/2017 1:00 PM,OakStreetWeatherStation201701011300
63rd Street Weather Station,01/01/2017 02:00:00 PM,4.4,0.9,50,0,0,39.3,0,246,2.4,4.3,997.5,330,353,11.9,01/01/2017 2:00 PM,63rdStreetWeatherStation201701011400
Foster Weather Station,01/01/2017 02:00:00 PM,3.67,,41,,0,,,191,4.7,5.4,997,0,,15.2,01/01/2017 2:00 PM,FosterWeatherStation201701011400
Oak Street Weather Station,01/01/2017 02:00:00 PM,4.3,0.4,46,0,0,135.1,0,299,1.5,2.5,997.7,24,1,12.1,01/01/2017 2:00 PM,OakStreetWeatherStation201701011400
63rd Street Weather Station,01/01/2017 03:00:00 PM,4.6,0.8,46,0,0,39.3,0,196,1.8,2.6,997.6,206,353,11.9,01/01/2017 3:00 PM,63rdStreetWeatherStation201701011500
Foster Weather Station,01/01/2017 03:00:00 PM,4.17,,37,,0,,,208,3.5,3.9,997,0,,15.1,01/01/2017 3:00 PM,FosterWeatherStation201701011500
Oak Street Weather Station,01/01/2017 03:00:00 PM,4.1,0.2,45,0,0,135.1,0,0,0.3,0.8,997.8,21,1,12.1,01/01/2017 3:00 PM,OakStreetWeatherStation201701011500
63rd Street Weather Station,01/01/2017 04:00:00 PM,2.9,0.3,60,0,0,39.3,0,102,2,2.7,997.1,35,354,11.9,01/01/2017 4:00 PM,63rdStreetWeatherStation201701011600
Foster Weather Station,01/01/2017 04:00:00 PM,1.28,,68,,0,,,96,1.6,1.9,996.3,0,,15.2,01/01/2017 4:00 PM,FosterWeatherStation201701011600
Oak Street Weather Station,01/01/2017 04:00:00 PM,2,0.2,71,0,0,135.1,0,71,0.9,2.1,997.5,28,1,12,01/01/2017 4:00 PM,OakStreetWeatherStation201701011600
63rd Street Weather Station,01/01/2017 05:00:00 PM,2,0.1,70,0,0,39.3,0,148,1.8,2.4,997.9,4,354,11.9,01/01/2017 5:00 PM,63rdStreetWeatherStation201701011700
Foster Weather Station,01/01/2017 05:00:00 PM,1.06,,63,,0,,,159,1.9,2.1,997.3,0,,15.2,01/01/2017 5:00 PM,FosterWeatherStation201701011700
Oak Street Weather Station,01/01/2017 05:00:00 PM,3.6,0.4,53,0,0,135.1,0,115,3.6,4.3,998.1,1,1,12.1,01/01/2017 5:00 PM,OakStreetWeatherStation201701011700
63rd Street Weather Station,01/01/2017 06:00:00 PM,2.1,0.1,69,0,0,39.3,0,165,1.1,1.5,998.9,4,354,11.9,01/01/2017 6:00 PM,63rdStreetWeatherStation201701011800
Foster Weather Station,01/01/2017 06:00:00 PM,1.17,,66,,0,,,152,1.4,1.5,998.3,0,,14.8,01/01/2017 6:00 PM,FosterWeatherStation201701011800
Oak Street Weather Station,01/01/2017 06:00:00 PM,3.6,0.5,55,0,0,135.1,0,114,2.6,3.8,999.2,1,1,12.1,01/01/2017 6:00 PM,OakStreetWeatherStation201701011800
63rd Street Weather Station,01/01/2017 07:00:00 PM,1.9,0.2,73,0,0,39.3,0,84,0.9,1.1,998.8,4,354,11.9,01/01/2017 7:00 PM,63rdStreetWeatherStation201701011900
Foster Weather Station,01/01/2017 07:00:00 PM,1.06,,68,,0,,,156,1.7,1.8,998.6,0,,15.2,01/01/2017 7:00 PM,FosterWeatherStation201701011900
Oak Street Weather Station,01/01/2017 07:00:00 PM,3.4,0.3,54,0,0,135.1,0,98,2.3,3.3,999.7,1,0,12.1,01/01/2017 7:00 PM,OakStreetWeatherStation201701011900
63rd Street Weather Station,01/01/2017 08:00:00 PM,1.9,0.8,82,0,0,39.3,0,108,4.7,5.6,997.8,4,354,11.8,01/01/2017 8:00 PM,63rdStreetWeatherStation201701012000
Foster Weather Station,01/01/2017 08:00:00 PM,1.28,,70,,0,,,91,2.1,2.3,997.6,0,,15.2,01/01/2017 8:00 PM,FosterWeatherStation201701012000
Oak Street Weather Station,01/01/2017 08:00:00 PM,2.6,0.7,71,0,0,135.1,0,108,2,3.2,998.7,2,1,12,01/01/2017 8:00 PM,OakStreetWeatherStation201701012000
63rd Street Weather Station,01/01/2017 09:00:00 PM,2.2,0.9,79,0,0,39.3,0,98,2.6,4,998.1,4,354,11.8,01/01/2017 9:00 PM,63rdStreetWeatherStation201701012100
Foster Weather Station,01/01/2017 09:00:00 PM,1.17,,74,,0,,,110,1.3,1.5,998,0,,15.2,01/01/2017 9:00 PM,FosterWeatherStation201701012100
Oak Street Weather Station,01/01/2017 09:00:00 PM,3.4,1.1,67,0,0,135.1,0,106,2.9,5,998.6,1,0,11.8,01/01/2017 9:00 PM,OakStreetWeatherStation201701012100
63rd Street Weather Station,01/01/2017 10:00:00 PM,2.1,0.8,80,0,0,39.3,0,105,2.7,3.5,998.3,4,354,11.8,01/01/2017 10:00 PM,63rdStreetWeatherStation201701012200
Foster Weather Station,01/01/2017 10:00:00 PM,1.5,,71,,0,,,108,1.8,2.1,998,0,,15.2,01/01/2017 10:00 PM,FosterWeatherStation201701012200
Oak Street Weather Station,01/01/2017 10:00:00 PM,3,1.1,70,0,0,135.1,0,107,2.2,5.4,999,1,1,12.1,01/01/2017 10:00 PM,OakStreetWeatherStation201701012200
63rd Street Weather Station,01/01/2017 11:00:00 PM,1.9,0.6,80,0,0,39.3,0,99,1.6,2.4,998.2,4,354,11.9,01/01/2017 11:00 PM,63rdStreetWeatherStation201701012300
Foster Weather Station,01/01/2017 11:00:00 PM,0.78,,76,,0,,,288,0.4,0.7,998,0,,15.2,01/01/2017 11:00 PM,FosterWeatherStation201701012300
Oak Street Weather Station,01/01/2017 11:00:00 PM,3.2,1.1,68,0,0,135.1,0,106,1.7,2.7,999,1,1,12,01/01/2017 11:00 PM,OakStreetWeatherStation201701012300
63rd Street Weather Station,01/02/2017 12:00:00 AM,2.2,0.8,79,0,0,39.3,0,78,3.4,3.7,997.4,4,354,11.9,01/02/2017 12:00 AM,63rdStreetWeatherStation201701022400
Foster Weather Station,01/02/2017 12:00:00 AM,1.17,,74,,0,,,77,0.8,1.1,997.3,0,,14.8,01/02/2017 12:00 AM,FosterWeatherStation201701022400
Oak Street Weather Station,01/02/2017 12:00:00 AM,2.9,0.9,69,0,0,135.1,0,113,1.5,2.5,998.3,2,1,12.1,01/02/2017 12:00 AM,OakStreetWeatherStation201701022400
63rd Street Weather Station,01/02/2017 01:00:00 AM,2,0.8,80,0,0,39.3,0,101,2.6,3.1,997.4,4,354,11.9,01/02/2017 1:00 AM,63rdStreetWeatherStation201701020100
Foster Weather Station,01/02/2017 01:00:00 AM,1.56,,73,,0,,,112,1.8,2.1,997.3,0,,15.2,01/02/2017 1:00 AM,FosterWeatherStation201701020100
Oak Street Weather Station,01/02/2017 01:00:00 AM,3.2,1.3,71,0,0,135.1,0,117,2.1,4.1,998.1,1,1,12,01/02/2017 1:00 AM,OakStreetWeatherStation201701020100
63rd Street Weather Station,01/02/2017 02:00:00 AM,2,0.8,81,0,0,39.3,0,116,2.3,3,998.1,4,354,11.9,01/02/2017 2:00 AM,63rdStreetWeatherStation201701020200
Foster Weather Station,01/02/2017 02:00:00 AM,1.39,,74,,0,,,168,0.5,0.7,998,0,,15.2,01/02/2017 2:00 AM,FosterWeatherStation201701020200
Oak Street Weather Station,01/02/2017 02:00:00 AM,3,1.1,71,0,0,135.1,0,109,1.5,2.7,998.7,1,0,12.1,01/02/2017 2:00 AM,OakStreetWeatherStation201701020200
63rd Street Weather Station,01/02/2017 03:00:00 AM,1.6,0.5,81,0,0,39.3,0,105,2.1,2.5,998,4,356,11.9,01/02/2017 3:00 AM,63rdStreetWeatherStation201701020300
Foster Weather Station,01/02/2017 03:00:00 AM,1.28,,76,,0,,,75,0.8,0.9,998,0,,15.2,01/02/2017 3:00 AM,FosterWeatherStation201701020300
Oak Street Weather Station,01/02/2017 03:00:00 AM,2.7,1.2,76,0,0,135.1,0,126,1.1,1.4,998.6,2,1,12,01/02/2017 3:00 AM,OakStreetWeatherStation201701020300
63rd Street Weather Station,01/02/2017 04:00:00 AM,1.7,0.8,85,0,0,39.3,0,57,1.8,2.4,997.2,4,354,11.9,01/02/2017 4:00 AM,63rdStreetWeatherStation201701020400
Foster Weather Station,01/02/2017 04:00:00 AM,1.56,,77,,0,,,38,1.3,1.4,997.3,0,,14.8,01/02/2017 4:00 AM,FosterWeatherStation201701020400
Oak Street Weather Station,01/02/2017 04:00:00 AM,2.8,1.3,77,0,0,135.1,0,136,1.7,2.7,998.1,1,1,12.1,01/02/2017 4:00 AM,OakStreetWeatherStation201701020400
63rd Street Weather Station,01/02/2017 05:00:00 AM,2.1,1.1,84,0,0,39.3,0,90,2.5,3.5,997,4,354,11.8,01/02/2017 5:00 AM,63rdStreetWeatherStation201701020500
Foster Weather Station,01/02/2017 05:00:00 AM,2.28,,75,,0,,,96,1.7,2.1,997,0,,15.2,01/02/2017 5:00 AM,FosterWeatherStation201701020500
Oak Street Weather Station,01/02/2017 05:00:00 AM,3.2,1.7,77,0,0,135.1,0,123,2.6,5.2,997.7,1,1,12.1,01/02/2017 5:00 AM,OakStreetWeatherStation201701020500
63rd Street Weather Station,01/02/2017 06:00:00 AM,2,1.1,85,0,0,39.3,0,116,2,2.6,997.4,4,354,11.8,01/02/2017 6:00 AM,63rdStreetWeatherStation201701020600
Foster Weather Station,01/02/2017 06:00:00 AM,1.89,,78,,0,,,94,1.1,1.3,997.3,0,,15.1,01/02/2017 6:00 AM,FosterWeatherStation201701020600
Oak Street Weather Station,01/02/2017 06:00:00 AM,3.4,1.9,79,0,0,135.1,0,130,1.4,3.8,997.9,1,1,12,01/02/2017 6:00 AM,OakStreetWeatherStation201701020600
63rd Street Weather Station,01/02/2017 07:00:00 AM,1.7,0.8,85,0,0,39.3,0,122,1.8,2.2,997.3,4,354,11.9,01/02/2017 7:00 AM,63rdStreetWeatherStation201701020700
Foster Weather Station,01/02/2017 07:00:00 AM,2,,78,,0,,,117,1.5,2.1,997,0,,15.1,01/02/2017 7:00 AM,FosterWeatherStation201701020700
Oak Street Weather Station,01/02/2017 07:00:00 AM,3,1.6,78,0,0,135.1,0,111,1.7,3.5,997.8,2,0,12.1,01/02/2017 7:00 AM,OakStreetWeatherStation201701020700
63rd Street Weather Station,01/02/2017 08:00:00 AM,1.3,0.6,88,0,0,39.3,0,0,0,0.9,997.2,45,354,11.9,01/02/2017 8:00 AM,63rdStreetWeatherStation201701020800
Foster Weather Station,01/02/2017 08:00:00 AM,1.39,,80,,0,,,108,1.7,2.1,997,0,,15.2,01/02/2017 8:00 AM,FosterWeatherStation201701020800
Oak Street Weather Station,01/02/2017 08:00:00 AM,3.1,1.6,78,0,0,135.1,0,108,3.4,5.1,997.6,26,1,12,01/02/2017 8:00 AM,OakStreetWeatherStation201701020800
63rd Street Weather Station,01/02/2017 09:00:00 AM,1.7,1,88,0,0,39.3,0,143,1.3,2.2,997.1,62,355,11.9,01/02/2017 9:00 AM,63rdStreetWeatherStation201701020900
Foster Weather Station,01/02/2017 09:00:00 AM,1.67,,79,,0,,,111,0.8,1.1,996.6,0,,15.2,01/02/2017 9:00 AM,FosterWeatherStation201701020900
Oak Street Weather Station,01/02/2017 09:00:00 AM,3.1,1.6,77,0,0,135.1,0,107,3.6,5.4,997.6,58,1,12,01/02/2017 9:00 AM,OakStreetWeatherStation201701020900
63rd Street Weather Station,01/02/2017 10:00:00 AM,1.9,1.2,89,0,0,39.3,0,113,2.1,2.7,997,145,354,11.8,01/02/2017 10:00 AM,63rdStreetWeatherStation201701021000
Foster Weather Station,01/02/2017 10:00:00 AM,1.89,,80,,0,,,124,2.5,2.8,996.6,0,,15.2,01/02/2017 10:00 AM,FosterWeatherStation201701021000
Oak Street Weather Station,01/02/2017 10:00:00 AM,3.5,2,77,0,0,135.1,0,108,2.7,5,997.4,149,1,11.8,01/02/2017 10:00 AM,OakStreetWeatherStation201701021000
63rd Street Weather Station,01/02/2017 11:00:00 AM,2.1,1.6,92,0,0,39.3,0,103,2.8,3.4,995.5,92,354,11.9,01/02/2017 11:00 AM,63rdStreetWeatherStation201701021100
Foster Weather Station,01/02/2017 11:00:00 AM,1.89,,81,,0,,,143,3.4,3.8,995.6,0,,15.2,01/02/2017 11:00 AM,FosterWeatherStation201701021100
Oak Street Weather Station,01/02/2017 11:00:00 AM,3.3,2.2,83,0,0,135.1,0,109,3.6,5.5,996.4,108,1,12.1,01/02/2017 11:00 AM,OakStreetWeatherStation201701021100
63rd Street Weather Station,01/02/2017 12:00:00 PM,2,1.8,96,0,0,39.3,0,104,4,5.4,993.5,170,354,11.8,01/02/2017 12:00 PM,63rdStreetWeatherStation201701021200
Foster Weather Station,01/02/2017 12:00:00 PM,1.5,,83,,0,,,105,1.4,1.8,993.2,0,,15.2,01/02/2017 12:00 PM,FosterWeatherStation201701021200
Oak Street Weather Station,01/02/2017 12:00:00 PM,3,2.3,90,0,0,135.1,0,118,2.9,4.3,994.1,86,0,12.1,01/02/2017 12:00 PM,OakStreetWeatherStation201701021200
63rd Street Weather Station,01/02/2017 01:00:00 PM,2.2,2,96,0,0,39.3,60,0,0,0.5,993.9,50,354,11.9,01/02/2017 1:00 PM,63rdStreetWeatherStation201701021300
Foster Weather Station,01/02/2017 01:00:00 PM,2,,85,,0,,,106,0.7,0.9,993.2,0,,15.1,01/02/2017 1:00 PM,FosterWeatherStation201701021300
Oak Street Weather Station,01/02/2017 01:00:00 PM,3.5,2.8,89,0,0,135.1,0,113,2.7,3.6,994.2,20,1,12.1,01/02/2017 1:00 PM,OakStreetWeatherStation201701021300
63rd Street Weather Station,01/02/2017 02:00:00 PM,2.7,2.4,95,6,1.8,41.1,60,9,2.3,3.3,993.3,22,354,11.9,01/02/2017 2:00 PM,63rdStreetWeatherStation201701021400
Foster Weather Station,01/02/2017 02:00:00 PM,2.78,,85,,0.28,,,37,0.8,0.9,993.2,0,,15.2,01/02/2017 2:00 PM,FosterWeatherStation201701021400
Oak Street Weather Station,01/02/2017 02:00:00 PM,3.7,2.9,88,1.8,0.5,135.7,60,81,2.2,2.4,993.9,16,0,12.1,01/02/2017 2:00 PM,OakStreetWeatherStation201701021400
63rd Street Weather Station,01/02/2017 03:00:00 PM,2.3,2,96,0,1.8,42.9,60,10,0.7,1.2,993.2,15,354,11.9,01/02/2017 3:00 PM,63rdStreetWeatherStation201701021500
Foster Weather Station,01/02/2017 03:00:00 PM,2.56,,87,,0.99,,,200,0.4,0.5,992.9,0,,14.8,01/02/2017 3:00 PM,FosterWeatherStation201701021500
Oak Street Weather Station,01/02/2017 03:00:00 PM,3.9,3.3,92,0,0.7,136.3,0,135,1.5,4.1,993.5,11,1,12,01/02/2017 3:00 PM,OakStreetWeatherStation201701021500
63rd Street Weather Station,01/02/2017 04:00:00 PM,3.3,3.1,96,4.2,2.5,45.4,60,4,1.8,2.6,993.5,5,354,11.9,01/02/2017 4:00 PM,63rdStreetWeatherStation201701021600
Foster Weather Station,01/02/2017 04:00:00 PM,3,,86,,0,,,94,1.3,1.4,992.9,0,,15.2,01/02/2017 4:00 PM,FosterWeatherStation201701021600
Oak Street Weather Station,01/02/2017 04:00:00 PM,4.2,3.6,91,0,0,136.3,60,122,1.7,2.6,993.8,5,1,12.1,01/02/2017 4:00 PM,OakStreetWeatherStation201701021600
63rd Street Weather Station,01/02/2017 05:00:00 PM,3.1,3,97,4.2,3.8,49.2,70,58,3.4,4.5,991.8,4,354,11.9,01/02/2017 5:00 PM,63rdStreetWeatherStation201701021700
Foster Weather Station,01/02/2017 05:00:00 PM,2.78,,88,,0.41,,,50,3.3,3.5,991.9,0,,15.2,01/02/2017 5:00 PM,FosterWeatherStation201701021700
Oak Street Weather Station,01/02/2017 05:00:00 PM,3.8,3.4,93,0,0.4,136.7,60,104,0.9,2.2,992.7,1,1,12,01/02/2017 5:00 PM,OakStreetWeatherStation201701021700
63rd Street Weather Station,01/02/2017 06:00:00 PM,3.3,3.1,98,0,3,52.3,60,41,3.2,3.6,991.8,4,354,11.9,01/02/2017 6:00 PM,63rdStreetWeatherStation201701021800
Foster Weather Station,01/02/2017 06:00:00 PM,2.89,,88,,0,,,15,1,1.5,991.9,0,,14.8,01/02/2017 6:00 PM,FosterWeatherStation201701021800
Oak Street Weather Station,01/02/2017 06:00:00 PM,4.5,4.1,93,0,0.1,136.8,60,142,1.9,3.6,992.6,1,1,12.1,01/02/2017 6:00 PM,OakStreetWeatherStation201701021800
63rd Street Weather Station,01/02/2017 07:00:00 PM,2.5,2.4,98,0,5.3,57.6,0,13,3.5,4.7,991.3,4,354,11.8,01/02/2017 7:00 PM,63rdStreetWeatherStation201701021900
Foster Weather Station,01/02/2017 07:00:00 PM,2.78,,88,,0,,,98,2.3,2.8,990.9,0,,15.1,01/02/2017 7:00 PM,FosterWeatherStation201701021900
Oak Street Weather Station,01/02/2017 07:00:00 PM,4.5,4.1,93,0,0.1,136.8,0,154,1.9,4,991.9,1,1,11.9,01/02/2017 7:00 PM,OakStreetWeatherStation201701021900
63rd Street Weather Station,01/02/2017 08:00:00 PM,3.5,3.5,99,0,0,57.6,0,103,3.6,4.9,990.3,4,354,11.8,01/02/2017 8:00 PM,63rdStreetWeatherStation201701022000
Foster Weather Station,01/02/2017 08:00:00 PM,2.56,,88,,0,,,88,1.5,1.6,989.8,0,,15.2,01/02/2017 8:00 PM,FosterWeatherStation201701022000
Oak Street Weather Station,01/02/2017 08:00:00 PM,4.3,3.9,94,0,0,136.8,0,141,1.6,4.1,990.8,1,1,12,01/02/2017 8:00 PM,OakStreetWeatherStation201701022000
63rd Street Weather Station,01/02/2017 09:00:00 PM,3,2.9,98,0,0,57.6,0,134,2.1,2.5,990.2,4,354,11.9,01/02/2017 9:00 PM,63rdStreetWeatherStation201701022100
Foster Weather Station,01/02/2017 09:00:00 PM,3,,88,,0,,,75,1.2,1.3,989.8,0,,15.2,01/02/2017 9:00 PM,FosterWeatherStation201701022100
Oak Street Weather Station,01/02/2017 09:00:00 PM,4.7,4.2,94,0,0,136.8,0,110,2.2,3.9,990.7,1,1,12.1,01/02/2017 9:00 PM,OakStreetWeatherStation201701022100
63rd Street Weather Station,01/02/2017 10:00:00 PM,3.1,3,98,0,0,57.6,0,31,1.7,2.2,989.7,4,354,11.8,01/02/2017 10:00 PM,63rdStreetWeatherStation201701022200
Foster Weather Station,01/02/2017 10:00:00 PM,2.89,,88,,0,,,118,0.8,0.9,989.2,0,,15.2,01/02/2017 10:00 PM,FosterWeatherStation201701022200
Oak Street Weather Station,01/02/2017 10:00:00 PM,4.9,4.5,93,0,0,136.8,0,110,2.2,3.6,990.1,1,1,12,01/02/2017 10:00 PM,OakStreetWeatherStation201701022200
63rd Street Weather Station,01/02/2017 11:00:00 PM,2.9,2.7,98,0,0,57.6,0,133,1.9,2.3,989.1,4,354,11.9,01/02/2017 11:00 PM,63rdStreetWeatherStation201701022300
Foster Weather Station,01/02/2017 11:00:00 PM,3.28,,88,,0,,,247,0.3,0.4,989.2,0,,15.2,01/02/2017 11:00 PM,FosterWeatherStation201701022300
Oak Street Weather Station,01/02/2017 11:00:00 PM,4.9,4.4,93,0,0,136.8,0,107,3.6,4.2,989.7,1,0,11.9,01/02/2017 11:00 PM,OakStreetWeatherStation201701022300
63rd Street Weather Station,01/03/2017 12:00:00 AM,3.1,3,98,0,0,57.6,0,27,1.4,1.8,988.7,4,354,11.9,01/03/2017 12:00 AM,63rdStreetWeatherStation201701032400
Foster Weather Station,01/03/2017 12:00:00 AM,2.28,,88,,0,,,352,1.4,1.5,988.5,0,,14.8,01/03/2017 12:00 AM,FosterWeatherStation201701032400
Oak Street Weather Station,01/03/2017 12:00:00 AM,4.6,4.1,93,0,0,136.8,0,118,1.5,2.4,989.4,1,1,12.1,01/03/2017 12:00 AM,OakStreetWeatherStation201701032400
63rd Street Weather Station,01/03/2017 01:00:00 AM,2.8,2.7,99,0,0,57.6,0,14,1.7,3.1,988.1,4,354,11.9,01/03/2017 1:00 AM,63rdStreetWeatherStation201701030100
Foster Weather Station,01/03/2017 01:00:00 AM,3.17,,89,,0,,,351,1,1.3,987.8,0,,14.8,01/03/2017 1:00 AM,FosterWeatherStation201701030100
Oak Street Weather Station,01/03/2017 01:00:00 AM,2.9,2.5,94,0,0,136.8,0,0,0,0.7,988.8,2,1,12.1,01/03/2017 1:00 AM,OakStreetWeatherStation201701030100
